Model	Sample	Peaks
u20L10	aat1	7040
u20L10	aat2	6853
u20L10	ant1	42720
u20L10	ant2	9829
u30L10	aat1	8289
u30L10	aat2	13476
u30L10	ant1	41152
u30L10	ant2	5301
u30L15	aat1	4479
u30L15	aat2	7009
u30L15	ant1	41961
u30L15	ant2	15253
u30L20	aat1	3189
u30L20	aat2	4553
u30L20	ant1	43163
u30L20	ant2	3801
u40L10	aat1	3621
u40L10	aat2	7000
u40L10	ant1	1501
u40L10	ant2	12457
u40L15	aat1	1925
u40L15	aat2	6173
u40L15	ant1	41243
u40L15	ant2	8213
u40L20	aat1	1227
u40L20	aat2	3952
u40L20	ant1	23876
u40L20	ant2	2211
u50L10	aat1	1964
u50L10	aat2	3203
u50L10	ant1	2450
u50L10	ant2	1767
u50L15	aat1	886
u50L15	aat2	1774
u50L15	ant1	3886
u50L15	ant2	1867
u50L20	aat1	13
u50L20	aat2	1455
u50L20	ant1	2905
u50L20	ant2	941
u60L10	aat1	5554
u60L10	aat2	1823
u60L10	ant1	17644
u60L10	ant2	3294
u60L15	aat1	2537
u60L15	aat2	1794
u60L15	ant1	26862
u60L15	ant2	2224
u60L20	aat1	1911
u60L20	aat2	867
u60L20	ant1	9713
u60L20	ant2	1417

