Model	Sample	EmissionType	Emission
u20L10	aat1	nfr	0.733
u20L10	aat1	mono	2.05
u20L10	aat1	di	1.318
u20L10	aat1	tri	1.37
u20L10	aat2	nfr	0.429
u20L10	aat2	mono	0.335
u20L10	aat2	di	0.52
u20L10	aat2	tri	0.304
u20L10	ant1	nfr	0.677
u20L10	ant1	mono	1.792
u20L10	ant1	di	1.492
u20L10	ant1	tri	1.628
u20L10	ant2	nfr	0.806
u20L10	ant2	mono	1.713
u20L10	ant2	di	1.081
u20L10	ant2	tri	1.128
u30L10	aat1	nfr	0.739
u30L10	aat1	mono	1.994
u30L10	aat1	di	1.222
u30L10	aat1	tri	1.199
u30L10	aat2	nfr	0.46
u30L10	aat2	mono	0.404
u30L10	aat2	di	0.61
u30L10	aat2	tri	0.356
u30L10	ant1	nfr	0.586
u30L10	ant1	mono	1.457
u30L10	ant1	di	1.15
u30L10	ant1	tri	1.175
u30L10	ant2	nfr	0.772
u30L10	ant2	mono	1.554
u30L10	ant2	di	0.884
u30L10	ant2	tri	0.854
u30L15	aat1	nfr	0.402
u30L15	aat1	mono	0.657
u30L15	aat1	di	0.377
u30L15	aat1	tri	0.42
u30L15	aat2	nfr	0.449
u30L15	aat2	mono	0.421
u30L15	aat2	di	0.643
u30L15	aat2	tri	0.373
u30L15	ant1	nfr	0.645
u30L15	ant1	mono	1.675
u30L15	ant1	di	1.333
u30L15	ant1	tri	1.325
u30L15	ant2	nfr	0.525
u30L15	ant2	mono	0.7
u30L15	ant2	di	0.408
u30L15	ant2	tri	0.47
u30L20	aat1	nfr	0.514
u30L20	aat1	mono	0.948
u30L20	aat1	di	0.622
u30L20	aat1	tri	0.718
u30L20	aat2	nfr	0.532
u30L20	aat2	mono	0.576
u30L20	aat2	di	0.922
u30L20	aat2	tri	0.571
u30L20	ant1	nfr	0.368
u30L20	ant1	mono	0.582
u30L20	ant1	di	0.455
u30L20	ant1	tri	0.513
u30L20	ant2	nfr	0.544
u30L20	ant2	mono	0.807
u30L20	ant2	di	0.476
u30L20	ant2	tri	0.528
u40L10	aat1	nfr	0.725
u40L10	aat1	mono	1.928
u40L10	aat1	di	1.208
u40L10	aat1	tri	1.213
u40L10	aat2	nfr	0.478
u40L10	aat2	mono	0.451
u40L10	aat2	di	0.7
u40L10	aat2	tri	0.402
u40L10	ant1	nfr	0.4
u40L10	ant1	mono	0.538
u40L10	ant1	di	0.407
u40L10	ant1	tri	0.46
u40L10	ant2	nfr	0.821
u40L10	ant2	mono	1.642
u40L10	ant2	di	0.967
u40L10	ant2	tri	0.939
u40L15	aat1	nfr	0.923
u40L15	aat1	mono	2.491
u40L15	aat1	di	1.568
u40L15	aat1	tri	1.637
u40L15	aat2	nfr	0.456
u40L15	aat2	mono	0.436
u40L15	aat2	di	0.676
u40L15	aat2	tri	0.381
u40L15	ant1	nfr	0.839
u40L15	ant1	mono	2.169
u40L15	ant1	di	1.817
u40L15	ant1	tri	2.083
u40L15	ant2	nfr	0.47
u40L15	ant2	mono	0.582
u40L15	ant2	di	0.32
u40L15	ant2	tri	0.353
u40L20	aat1	nfr	0.574
u40L20	aat1	mono	1.197
u40L20	aat1	di	0.788
u40L20	aat1	tri	0.923
u40L20	aat2	nfr	0.52
u40L20	aat2	mono	0.584
u40L20	aat2	di	0.954
u40L20	aat2	tri	0.593
u40L20	ant1	nfr	0.425
u40L20	ant1	mono	0.548
u40L20	ant1	di	0.436
u40L20	ant1	tri	0.498
u40L20	ant2	nfr	1.156
u40L20	ant2	mono	2.486
u40L20	ant2	di	1.525
u40L20	ant2	tri	1.579
u50L10	aat1	nfr	0.598
u50L10	aat1	mono	1.292
u50L10	aat1	di	0.826
u50L10	aat1	tri	0.979
u50L10	aat2	nfr	0.473
u50L10	aat2	mono	0.461
u50L10	aat2	di	0.726
u50L10	aat2	tri	0.425
u50L10	ant1	nfr	0.964
u50L10	ant1	mono	2.335
u50L10	ant1	di	2.008
u50L10	ant1	tri	2.526
u50L10	ant2	nfr	1.235
u50L10	ant2	mono	2.598
u50L10	ant2	di	1.645
u50L10	ant2	tri	1.789
u50L15	aat1	nfr	1.108
u50L15	aat1	mono	2.932
u50L15	aat1	di	1.927
u50L15	aat1	tri	2.18
u50L15	aat2	nfr	0.581
u50L15	aat2	mono	0.547
u50L15	aat2	di	0.865
u50L15	aat2	tri	0.502
u50L15	ant1	nfr	0.476
u50L15	ant1	mono	0.635
u50L15	ant1	di	0.497
u50L15	ant1	tri	0.596
u50L15	ant2	nfr	0.635
u50L15	ant2	mono	1.06
