Model	Sample	Peaks	Nfr	Mono	Di	Tri
u20L10	aat1	180	0.733	2.05	1.318	1.37
u20L10	aat2	7587	0.429	0.335	0.52	0.304
u20L10	ant1	198	0.677	1.792	1.492	1.628
u20L10	ant2	203	0.806	1.713	1.081	1.128
u30L10	aat1	219	0.739	1.994	1.222	1.199
u30L10	aat2	4792	0.46	0.404	0.61	0.356
u30L10	ant1	516	0.586	1.457	1.15	1.175
u30L10	ant2	262	0.772	1.554	0.884	0.854
u30L15	aat1	8183	0.402	0.657	0.377	0.42
u30L15	aat2	7828	0.449	0.421	0.643	0.373
u30L15	ant1	277	0.645	1.675	1.333	1.325
u30L15	ant2	6704	0.525	0.7	0.408	0.47
u30L20	aat1	4149	0.514	0.948	0.622	0.718
u30L20	aat2	5256	0.532	0.576	0.922	0.571
u30L20	ant1	20469	0.368	0.582	0.455	0.513
u30L20	ant2	4246	0.544	0.807	0.476	0.528
u40L10	aat1	221	0.725	1.928	1.208	1.213
u40L10	aat2	4254	0.478	0.451	0.7	0.402
u40L10	ant1	6932	0.4	0.538	0.407	0.46
u40L10	ant2	213	0.821	1.642	0.967	0.939
u40L15	aat1	116	0.923	2.491	1.568	1.637
u40L15	aat2	10945	0.456	0.436	0.676	0.381
u40L15	ant1	114	0.839	2.169	1.817	2.083
u40L15	ant2	15295	0.47	0.582	0.32	0.353
u40L20	aat1	2754	0.574	1.197	0.788	0.923
u40L20	aat2	4851	0.52	0.584	0.954	0.593
u40L20	ant1	7724	0.425	0.548	0.436	0.498
u40L20	ant2	81	1.156	2.486	1.525	1.579
u50L10	aat1	3611	0.598	1.292	0.826	0.979
u50L10	aat2	3645	0.473	0.461	0.726	0.425
u50L10	ant1	96	0.964	2.335	2.008	2.526
u50L10	ant2	85	1.235	2.598	1.645	1.789
u50L15	aat1	60	1.108	2.932	1.927	2.18
u50L15	aat2	1780	0.581	0.547	0.865	0.502
u50L15	ant1	3305	0.476	0.635	0.497	0.596
u50L15	ant2	4417	0.635	1.06	0.62	0.72
u50L20	aat1	2154	0.734	1.819	1.224	1.475
u50L20	aat2	1622	0.657	0.749	1.256	0.811
u50L20	ant1	3482	0.511	0.913	0.768	0.972
u50L20	ant2	1553	0.673	1.103	0.684	0.795
u60L10	aat1	237	0.683	1.85	1.146	1.161
u60L10	aat2	2200	0.533	0.557	0.927	0.605
u60L10	ant1	4595	0.42	0.582	0.453	0.542
u60L10	ant2	80	1.218	2.601	1.681	1.968
u60L15	aat1	128	0.914	2.449	1.495	1.516
u60L15	aat2	1055	0.678	0.768	1.291	0.885
u60L15	ant1	6174	0.415	0.496	0.39	0.439
u60L15	ant2	5289	0.606	0.987	0.571	0.653
u60L20	aat1	64	0.884	2.561	1.687	1.891
u60L20	aat2	1055	0.715	0.899	1.562	1.095
u60L20	ant1	4501	0.47	0.806	0.66	0.804
u60L20	ant2	66	1.233	2.651	1.713	1.98

