chr	sart	end	log2FoldChange	stat	pval	padj
chrX	814370	815220	-1.2143709570165	-5.02824744514356	4.94982882987464e-07	0.000494328228206739
chrX	1906530	1906760	-0.486721338660698	-2.15398432922886	0.0312414008731232	0.999987942713914
chrX	3296240	3296780	-0.679919598120483	-2.6849227408903	0.00725465738266338	0.999987942713914
chrX	4142280	4142520	-0.885852957374008	-2.08996866362177	0.0366206147280861	0.999987942713914
chrX	4508060	4508780	0.567702795420776	2.02216526272809	0.0431592816294428	0.999987942713914
chrX	4783520	4784140	-1.01016947493528	-3.43989517269139	0.000581939537437834	0.27717332522366
chrX	4854760	4855380	-0.97436931459211	-2.31109854271324	0.0208274124709912	0.999987942713914
chrX	5111120	5111700	-1.58925952126276	-4.58690298052373	4.49869607957548e-06	0.00376419275479939
chrX	5178370	5178820	0.867985479308347	3.08560320233139	0.00203139714019223	0.783153130358488
chrX	5195840	5196470	-1.00930788536673	-2.35566403732646	0.0184896315260413	0.999987942713914
chrX	5711140	5711360	-0.888223774586366	-2.36905465301491	0.0178336179713552	0.999987942713914
chrX	11989520	11989770	-1.06820039168661	-2.2402761735099	0.0250729990857865	0.999987942713914
chrX	12720220	12720670	0.931501777223569	2.62845597146225	0.00857734581186125	0.999987942713914
chrX	13583130	13583600	0.755499531104399	2.04063951927574	0.0412866710360017	0.999987942713914
chrX	15632200	15632400	-0.688024296327682	-2.11622373618234	0.0343257833775534	0.999987942713914
chrX	16239930	16240140	0.548666759655571	2.74588962536695	0.0060347062542816	0.999987942713914
chrX	16242310	16242660	0.491681521630869	2.51263010698335	0.011983490799506	0.999987942713914
chrX	20203850	20204170	-0.66091076787016	-2.96206193116446	0.00305586311511295	0.999987942713914
chrX	21931300	21931780	-0.423611445503785	-2.47108062251511	0.0134705445812946	0.999987942713914
chrX	24346130	24346350	-0.81251593534427	-2.56435987014393	0.0103366309038098	0.999987942713914
chrX	30583790	30584030	-1.25681602135513	-2.20239838550534	0.0276371798318014	0.999987942713914
chrX	30585740	30586010	-1.05190568028509	-2.11334115724662	0.0345715784346059	0.999987942713914
chrX	30655470	30656230	-0.73601168799707	-2.20240221419896	0.0276369096205568	0.999987942713914
chrX	30883230	30883580	-0.339870310835338	-2.2632085154251	0.0236228385492005	0.999987942713914
chrX	33295630	33296480	-0.991806267685898	-5.10173488883029	3.36553979791098e-07	0.000359288781391469
chrX	33297380	33297790	-2.03134966852976	-5.19769521437445	2.01774599477305e-07	0.000223097850900639
chr2L	613900	614140	-0.593702206467941	-2.1792114884117	0.0293159608788302	0.999987942713914
chr2L	1251970	1252270	-0.484676281329541	-2.77843383365008	0.00546216364149227	0.999987942713914
chr2L	1338520	1338830	-0.416446636160977	-2.43072208458811	0.0150687679946268	0.999987942713914
chr2L	1341080	1341620	-0.529300700318558	-2.94860881362911	0.00319207743577393	0.999987942713914
chr2L	1343800	1344050	-0.460339042792858	-2.52685234120656	0.0115089879516667	0.999987942713914
chr2L	1344830	1345770	-0.695041315996587	-3.48980600948324	0.000483371292929793	0.233823310278336
chr2L	1348370	1349420	-1.52879830402622	-7.46264234976878	8.48043141595447e-14	2.01958212466565e-10
chr2L	1350210	1350570	-3.3823868046926	-11.3372329250202	8.58150827457882e-30	5.31349829345372e-26
chr2L	1769560	1769840	-2.64025208124844	-11.2703214108931	1.83897366882469e-29	9.48879763552394e-26
chr2L	1771030	1771780	-1.75140301970699	-4.05242422758905	5.06896435851608e-05	0.0307706014853528
chr2L	1771920	1772430	-1.02325996154454	-5.99648048946888	2.01639823328748e-09	3.28556173180774e-06
chr2L	1773930	1774970	-0.715221482913568	-4.39257980936374	1.12013489978325e-05	0.00825672770533084
chr2L	1775180	1775490	-0.759151016182108	-4.47211430680762	7.74500065101119e-06	0.00614814038858091
chr2L	1776410	1776940	-1.19268448204329	-5.95685749264809	2.57134273613616e-09	3.98030998840197e-06
chr2L	1885480	1885760	-0.864623294964676	-4.110922367823	3.9408169387055e-05	0.0265225546968225
chr2L	2001570	2001850	-0.396188436078066	-2.391361532341	0.0167860144343546	0.999987942713914
chr2L	2375790	2376030	-0.660616227563728	-2.21350841024354	0.0268626140565254	0.999987942713914
chr2L	2737830	2738360	-0.688126840591073	-2.35827850172305	0.018359912898927	0.999987942713914
chr2L	3061830	3062310	-0.719492773008675	-2.4920779448357	0.0126998164206771	0.999987942713914
chr2L	4285350	4285550	-0.732704318566655	-2.7101991544927	0.00672428192428537	0.999987942713914
chr2L	4326840	4327170	-0.491000109850059	-1.99787109719487	0.0457306368562558	0.999987942713914
chr2L	4709070	4709350	0.644643439033031	2.1617077510931	0.0306407098126581	0.999987942713914
chr2L	5560280	5561010	-0.583359144788909	-2.04019326831787	0.0413310799681251	0.999987942713914
